"Region","Species","Species.Qualified","Conservation.Unit","High.Risk","Moderate.Risk","Low.Risk"
"Skeena","Chinook","CK","Ecstall","10%","10%","80%"
"Skeena","Chinook","CK","Kalum-Early","23%","48%","29%"
"Skeena","Chinook","CK","Kalum-Late","51%","44%","5%"
"Skeena","Chinook","CK","Lakelse","62%","38%","0%"
"Skeena","Chinook","CK","Lower Skeena","16%","29%","55%"
"Skeena","Chinook","CK","Middle Skeena-Large Lakes","37%","38%","25%"
"Skeena","Chinook","CK","Middle Skeena-Mainstem Tributaries","39%","33%","28%"
"Skeena","Chinook","CK","Skeena Estuary","0%","100%","0%"
"Skeena","Chinook","CK","Upper Bulkley River","74%","26%","0%"
"Skeena","Chinook","CK","Upper Skeena","4%","15%","81%"
"Skeena","Chinook","CK","Zymoetz","17%","49%","34%"
"Skeena","Chum","CM","Lower Skeena","22%","30%","48%"
"Skeena","Chum","CM","Middle Skeena","56%","39%","5%"
"Skeena","Chum","CM","Skeena Estuary","30%","49%","21%"
"Skeena","Chum","CM","Upper Skeena","0%","100%","0%"
"Skeena","Coho","CO","Lower Skeena","22%","36%","41%"
"Skeena","Coho","CO","Middle Skeena","44%","39%","17%"
"Skeena","Coho","CO","Skeena Estuary","30%","60%","10%"
"Skeena","Coho","CO","Upper Skeena","3%","12%","85%"
"Skeena","Pink","PKO","Lower Skeena River (odd)","23%","34%","42%"
"Skeena","Pink","PKE","Middle-Upper Skeena (even)","51%","43%","5%"
"Skeena","Pink","PKO","Middle-Upper Skeena (odd)","51%","43%","5%"
"Skeena","Pink","PKE","Nass-Skeena Estuary (even)","15%","30%","55%"
"Skeena","Pink","PKO","Nass-Skeena Estuary (odd)","27%","47%","26%"
"Skeena","Sockeye","SEL","Alastair","0%","0%","100%"
"Skeena","Sockeye","SEL","Asitika","0%","0%","100%"
"Skeena","Sockeye","SEL","Azuklotz","0%","0%","100%"
"Skeena","Sockeye","SEL","Babine (enhanced)","53%","39%","8%"
"Skeena","Sockeye","SEL","Babine/Onerka","53%","39%","8%"
"Skeena","Sockeye","SEL","Bear","0%","18%","82%"
"Skeena","Sockeye","SEL","Bulkley/Maxan","100%","0%","0%"
"Skeena","Sockeye","SEL","Damshilgwit","0%","0%","100%"
"Skeena","Sockeye","SEL","Ecstall/Lower","0%","0%","100%"
"Skeena","Sockeye","SEL","Footsore/Hodder","0%","0%","100%"
"Skeena","Sockeye","SEL","Gitanyow (Kitwanga/Kitwancool)","34%","66%","0%"
"Skeena","Sockeye","SEL","Johanson","0%","59%","41%"
"Skeena","Sockeye","SEL","Johnston","0%","0%","100%"
"Skeena","Sockeye","SEL","Kitsumkalum","18%","44%","38%"
"Skeena","Sockeye","SEL","Kluatantan","0%","0%","100%"
"Skeena","Sockeye","SEL","Kluayaz","0%","0%","100%"
"Skeena","Sockeye","SEL","Lakelse","64%","31%","5%"
"Skeena","Sockeye","SEL","Mcdonell/Dennis/Aldrich","41%","42%","16%"
"Skeena","Sockeye","SEL","Morice/Atna","14%","2%","84%"
"Skeena","Sockeye","SEL","Motase","0%","0%","100%"
"Skeena","Sockeye","SEL","Nilkitkwa","40%","49%","11%"
"Skeena","Sockeye","SEL","Prudhomme","0%","100%","0%"
"Skeena","Sockeye","SEL","Shawatlan","0%","100%","0%"
"Skeena","Sockeye","SEL","Sicintine","0%","0%","100%"
"Skeena","Sockeye","SER","Skeena River (river-type)","48%","26%","27%"
"Skeena","Sockeye","SER","Skeena River-High Interior (river-type)","0%","16%","84%"
"Skeena","Sockeye","SEL","Slamgeesh","0%","0%","100%"
"Skeena","Sockeye","SEL","Spawning","0%","0%","100%"
"Skeena","Sockeye","SEL","Stephens","0%","0%","100%"
"Skeena","Sockeye","SEL","Sustut","0%","0%","100%"
"Skeena","Sockeye","SEL","Tahlo/Morrison","12%","88%","0%"
"Skeena","Steelhead","SH","Babine","62%","18%","20%"
"Skeena","Steelhead","SH","Bulkley","100%","0%","0%"
"Skeena","Steelhead","SH","Kispiox","65%","16%","19%"
"Skeena","Steelhead","SH","Middle Skeena","54%","46%","0%"
"Skeena","Steelhead","SH","Morice","70%","30%","0%"
"Skeena","Steelhead","SH","Skeena Coastal Summers","57%","27%","15%"
"Skeena","Steelhead","SH","Skeena Coastal Winters","0%","47%","53%"
"Skeena","Steelhead","SH","Suskwa","17%","83%","0%"
"Skeena","Steelhead","SH","Upper Skeena","0%","0%","100%"
"Skeena","Steelhead","SH","Upper Skeena Headwaters","0%","54%","46%"
"Skeena","Steelhead","SH","Upper Sustut","0%","54%","46%"
"Nass","Chinook","CK","Portland Sound-Observatory Inlet-Lower Nass","10%","50%","40%"
"Nass","Chinook","CK","Upper Nass","39%","37%","23%"
"Nass","Chum","CM","Lower Nass","30%","54%","15%"
"Nass","Chum","CM","Portland Canal-Observatory","3%","39%","58%"
"Nass","Chum","CM","Portland Inlet","0%","35%","65%"
"Nass","Coho","CO","Lower Nass","28%","56%","17%"
"Nass","Coho","CO","Portland Sound-Observatory Inlet-Portland Canal","2%","46%","52%"
"Nass","Coho","CO","Upper Nass","36%","45%","19%"
"Nass","Pink","PKO","Nass-Portland-Observatory (odd)","11%","46%","43%"
"Nass","Pink","PKE","Upper Nass (even)","48%","52%","0%"
"Nass","Pink","PKO","Upper Nass (odd)","48%","52%","0%"
"Nass","Sockeye","SEL","Bowser","6%","53%","41%"
"Nass","Sockeye","SEL","Damdochax","0%","0%","100%"
"Nass","Sockeye","SEL","Fred Wright","0%","100%","0%"
"Nass","Sockeye","SEL","Kwinageese","0%","100%","0%"
"Nass","Sockeye","SEL","Leverson","0%","0%","100%"
"Nass","Sockeye","SER","Lower Nass-Portland (river-type)","71%","29%","0%"
"Nass","Sockeye","SEL","Meziadin","37%","34%","28%"
"Nass","Sockeye","SEL","Oweegee","100%","0%","0%"
"Nass","Sockeye","SER","Upper Nass River (river-type)","61%","16%","22%"
"Nass","Steelhead","SH","Nass Summer","38%","51%","11%"
"Nass","Steelhead","SH","Nass Winter","0%","100%","0%"
"Central Coast","Chinook","CK","Bella Coola-Bentinck","41%","25%","34%"
"Central Coast","Chinook","CK","Dean River","7%","44%","48%"
"Central Coast","Chinook","CK","Docee","43%","57%","0%"
"Central Coast","Chinook","CK","North & Central Coast-Early","13%","28%","59%"
"Central Coast","Chinook","CK","North & Central Coast-Late","0%","11%","89%"
"Central Coast","Chinook","CK","Rivers Inlet","5%","45%","50%"
"Central Coast","Chinook","CK","Wannock","0%","45%","55%"
"Central Coast","Chum","CM","Bella Coola River-Late","100%","0%","0%"
"Central Coast","Chum","CM","Bella Coola-Dean Rivers","34%","42%","24%"
"Central Coast","Chum","CM","Douglas-Gardner","12%","36%","52%"
"Central Coast","Chum","CM","Hecate Lowlands","1%","11%","88%"
"Central Coast","Chum","CM","Mussel-Kynoch","0%","0%","100%"
"Central Coast","Chum","CM","Rivers Inlet","6%","79%","15%"
"Central Coast","Chum","CM","Smith Inlet","20%","36%","44%"
"Central Coast","Chum","CM","Spiller-Fitz-Hugh-Burke","18%","17%","65%"
"Central Coast","Chum","CM","Wannock","0%","45%","55%"
"Central Coast","Coho","CO","Bella Coola-Dean Rivers","50%","40%","10%"
"Central Coast","Coho","CO","Douglas Channel-Kitimat Arm","28%","34%","39%"
"Central Coast","Coho","CO","Hecate Strait Mainland","5%","17%","78%"
"Central Coast","Coho","CO","Mussel-Kynoch","0%","13%","87%"
"Central Coast","Coho","CO","Northern Coastal Streams","7%","24%","69%"
"Central Coast","Coho","CO","Rivers Inlet","5%","59%","36%"
"Central Coast","Coho","CO","Smith Inlet","32%","33%","35%"
"Central Coast","Pink","PKE","Hecate Lowlands (even)","4%","16%","80%"
"Central Coast","Pink","PKE","Hecate Strait-Fjords (even)","15%","38%","46%"
"Central Coast","Pink","PKO","Hecate Strait-Fjords (odd)","13%","31%","56%"
"Central Coast","Pink","PKO","Hecate Strait-Lowlands (odd)","5%","16%","79%"
"Central Coast","Pink","PKO","Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean (odd)","39%","50%","11%"
"Central Coast","Sockeye","SEL","Backland","0%","29%","71%"
"Central Coast","Sockeye","SEL","Banks","0%","0%","100%"
"Central Coast","Sockeye","SEL","Bloomfield","0%","0%","100%"
"Central Coast","Sockeye","SEL","Bolton Creek","0%","0%","100%"
"Central Coast","Sockeye","SEL","Bonilla","0%","0%","100%"
"Central Coast","Sockeye","SEL","Borrowman Creek","0%","0%","100%"
"Central Coast","Sockeye","SEL","Busey Creek","0%","0%","100%"
"Central Coast","Sockeye","SEL","Canoona","0%","0%","100%"
"Central Coast","Sockeye","SEL","Cartwright Creek","0%","0%","100%"
"Central Coast","Sockeye","SEL","Chic Chic","0%","0%","100%"
"Central Coast","Sockeye","SEL","Curtis Inlet","0%","0%","100%"
"Central Coast","Sockeye","SEL","Dallain Creek","0%","0%","100%"
"Central Coast","Sockeye","SEL","Deer","0%","0%","100%"
"Central Coast","Sockeye","SEL","Devon","0%","0%","100%"
"Central Coast","Sockeye","SEL","Dome","0%","0%","100%"
"Central Coast","Sockeye","SEL","Douglas Creek","0%","0%","100%"
"Central Coast","Sockeye","SEL","Elizabeth","0%","0%","100%"
"Central Coast","Sockeye","SEL","Elsie/Hoy","0%","100%","0%"
"Central Coast","Sockeye","SEL","End Hill Creek","0%","0%","100%"
"Central Coast","Sockeye","SEL","Evelyn","0%","100%","0%"
"Central Coast","Sockeye","SEL","Evinrude Inlet","0%","0%","100%"
"Central Coast","Sockeye","SEL","Fannie Cove","0%","0%","100%"
"Central Coast","Sockeye","SEL","Freeda","0%","0%","100%"
"Central Coast","Sockeye","SEL","Hartley Bay","0%","100%","0%"
"Central Coast","Sockeye","SEL","Hevenor Inlet","0%","0%","100%"
"Central Coast","Sockeye","SEL","Higgins Lagoon","0%","0%","100%"
"Central Coast","Sockeye","SEL","Kadjusdis River","0%","0%","100%"
"Central Coast","Sockeye","SEL","Kainet Creek","0%","0%","100%"
"Central Coast","Sockeye","SEL","Kdelmashan Creek","0%","0%","100%"
"Central Coast","Sockeye","SEL","Keecha","0%","0%","100%"
"Central Coast","Sockeye","SEL","Kent Inlet Lagoon Creek","0%","0%","100%"
"Central Coast","Sockeye","SEL","Kenzuwash Creeks","0%","0%","100%"
"Central Coast","Sockeye","SEL","Keswar Creek","0%","0%","100%"
"Central Coast","Sockeye","SEL","Kildidt Creek","0%","0%","100%"
"Central Coast","Sockeye","SEL","Kildidt Lagoon Creek","0%","0%","100%"
"Central Coast","Sockeye","SEL","Kimsquit","0%","0%","100%"
"Central Coast","Sockeye","SEL","Kisameet","0%","0%","100%"
"Central Coast","Sockeye","SEL","Kitkiata","0%","100%","0%"
"Central Coast","Sockeye","SEL","Kitlope","0%","0%","100%"
"Central Coast","Sockeye","SEL","Koeye","0%","12%","88%"
"Central Coast","Sockeye","SEL","Kooryet","0%","0%","100%"
"Central Coast","Sockeye","SEL","Kunsoot River","100%","0%","0%"
"Central Coast","Sockeye","SEL","Kwakwa Creek","0%","0%","100%"
"Central Coast","Sockeye","SEL","Lewis Creek","0%","0%","100%"
"Central Coast","Sockeye","SEL","Limestone Creek","0%","0%","100%"
"Central Coast","Sockeye","SEL","Long","0%","30%","70%"
"Central Coast","Sockeye","SEL","Lowe/Simpson/Weir","0%","0%","100%"
"Central Coast","Sockeye","SEL","Mary Cove Creek","0%","100%","0%"
"Central Coast","Sockeye","SEL","Mcdonald Creek","0%","0%","100%"
"Central Coast","Sockeye","SEL","Mcloughlin","100%","0%","0%"
"Central Coast","Sockeye","SEL","Mikado","0%","0%","100%"
"Central Coast","Sockeye","SEL","Monckton Inlet Creek","0%","0%","100%"
"Central Coast","Sockeye","SEL","Namu","0%","0%","100%"
"Central Coast","Sockeye","SER","Northern Coastal Fjords (river-type)","18%","22%","60%"
"Central Coast","Sockeye","SER","Northern Coastal Streams (river-type)","2%","30%","68%"
"Central Coast","Sockeye","SEL","Owikeno","5%","16%","79%"
"Central Coast","Sockeye","SEL","Pine River","0%","0%","100%"
"Central Coast","Sockeye","SEL","Port John","0%","0%","100%"
"Central Coast","Sockeye","SEL","Powles Creek","0%","0%","100%"
"Central Coast","Sockeye","SEL","Price Creek","0%","0%","100%"
"Central Coast","Sockeye","SER","Rivers-Smith Inlets (river-type)","0%","78%","22%"
"Central Coast","Sockeye","SEL","Roderick","0%","0%","100%"
"Central Coast","Sockeye","SEL","Ryan Creek","0%","0%","100%"
"Central Coast","Sockeye","SEL","Salter","0%","0%","100%"
