"Region","Species","Species.Qualified","Conservation.Unit","Current.Spawner.Abundance","Years","Years.of.Data","PSF.Status","PSF.Status.Type","percentile_status","percentile_red_prob","percentile_yellow_prob","percentile_green_prob","sr_status","sr_red_prob","sr_yellow_prob","sr_green_prob","WSP","WSP.Year","COSEWIC","COSEWIC.Year","Province","Province.Year","S25","S50","Sgen","Smsy"
"Central Coast","Chinook","CK","Docee","439","2008-2011",30,"data-deficient","absolute","poor","92.78","7.22","0"," "," "," "," "," "," "," "," "," "," ","469 (417 - 645)","1,436 (946 - 1,420)"," ",""
"Central Coast","Chinook","CK","Rivers Inlet","817","2013-2017",38,"data-deficient","absolute","fair","27.26","72.74","0","fair","7%","92.9%","0.1%"," "," "," "," "," "," ","726 (474 - 1,087)","2,369 (1,608 - 3,337)","480 (243 - 899)","1,250 (931 - 1,827)"
"Central Coast","Chinook","CK","Wannock","6,468","2013-2017",38,"data-deficient","sr","fair","0.04","99.94","0.02","good","0%","0%","100%"," "," "," "," "," "," ","5,535 (4,116 - 5,880)","8,078 (7,395 - 9,332)","791 (457 - 1,358)","3,755 (3,262 - 4,634)"
"Central Coast","Chinook","CK","Bella Coola-Bentinck","22,821","2013-2017",33,"data-deficient","sr","fair","0","59.58","40.42","good","0%","0%","100%"," "," "," "," "," "," ","14,425 (11,266 - 16,790)","25,000 (19,602 - 28,183)","3,052 (1,676 - 5,456)","11,973 (10,074 - 15,136)"
"Central Coast","Chinook","CK","Dean River","2,217","2013-2017",33,"data-deficient","sr","fair","0","99.74","0.26","good","0%","0%","100%"," "," "," "," "," "," ","1,300 (1,080 - 1,531)","3,300 (2,474 - 3,423)","279 (156 - 513)","1,204 (1,022 - 1,504)"
"Central Coast","Chinook","CK","North & Central Coast-Late","1,080","2017-2020",27,"poor","absolute","fair","0.04","99.96","0"," "," "," "," "," "," "," "," "," "," ","600 (287 - 800)","2,488 (1,583 - 2,924)"," ",""
"Central Coast","Chinook","CK","North & Central Coast-Early","891","2013-2017",33,"data-deficient","absolute","fair","0","97.14","2.86","good","0%","0%","100%"," "," "," "," "," "," ","602 (390 - 632)","967 (887 - 1,248)","116 (60 - 195)","488 (408 - 632)"
"Central Coast","Chum","CM","Smith Inlet","6,547","2018-2021",67,"poor","sr","poor","100","0","0","poor","87.2%","12.8%","0%"," "," "," "," "," "," ","22,959 (11,273 - 29,905)","73,520 (44,943 - 97,342)","8,169 (4,736 - 14,025)","31,091 (26,104 - 38,822)"
"Central Coast","Chum","CM","Rivers Inlet","4,396","2018-2021",66,"poor","sr","poor","96.8","3.2","0","poor","100%","0%","0%"," "," "," "," "," "," ","7,809 (4,271 - 11,289)","37,322 (24,125 - 63,369)","8,786 (5,677 - 13,191)","27,337 (21,944 - 35,590)"
"Central Coast","Chum","CM","Wannock"," ","",0,"data-deficient"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
