cuid,cuname,cuindex,culabel,sppqualifiedid,SPECIES_QUALIFIED
171,Alastair,L_20_01,Alastair,1,SEL
172,Aldrich,L_20_02,Mcdonell/Dennis/Aldrich,1,SEL
173,Dennis,L_20_03,Mcdonell/Dennis/Aldrich,1,SEL
174,Ecstall/Lower,L_20_04,Ecstall/Lower,1,SEL
175,Johnston,L_20_05,Johnston,1,SEL
176,Kitsumkalum,L_20_06,Kitsumkalum,1,SEL
177,Lakelse,L_20_07,Lakelse,1,SEL
178,Mcdonell,L_20_08,Mcdonell/Dennis/Aldrich,1,SEL
179,Atna,L_21_01,Morice/Atna,1,SEL
180,Babine,L_21_02,Babine/Onerka,1,SEL
181,Bulkley,L_21_03,Bulkley/Maxan,1,SEL
182,Club Lake,L_21_04,Swan/Club,1,SEL
183,Gitanyow,L_21_05,Gitanyow (Kitwanga/Kitwancool),1,SEL
184,Maxan,L_21_06,Bulkley/Maxan,1,SEL
185,Morice,L_21_07,Morice/Atna,1,SEL
186,Nilkitkwa,L_21_08,Nilkitkwa,1,SEL
187,Stephens,L_21_09,Stephens,1,SEL
188,Swan,L_21_10,Swan/Club,1,SEL
189,Tahlo/Morrison,L_21_11,Tahlo/Morrison,1,SEL
190,Asitika,L_22_01,Asitika,1,SEL
191,Azuklotz,L_22_02,Azuklotz,1,SEL
192,Bear,L_22_03,Bear,1,SEL
193,Damshilgwit,L_22_04,Damshilgwit,1,SEL
194,Johanson,L_22_05,Johanson,1,SEL
195,Kluatantan,L_22_06,Kluatantan,1,SEL
196,Kluayaz,L_22_07,Kluayaz,1,SEL
197,Motase,L_22_08,Motase,1,SEL
198,Sicintine,L_22_09,Sicintine,1,SEL
199,Slamgeesh,L_22_10,Slamgeesh,1,SEL
200,Spawning,L_22_11,Spawning,1,SEL
201,Sustut,L_22_12,Sustut,1,SEL
202,Lower Skeena-CO,NULL,Lower Skeena,6,CO
203,Babine (enhanced),NULL,Babine (enhanced),1,SEL
204,Babine-Pinkut,NULL,Babine (enhanced),1,SEL
205,Ecstall,NULL,Ecstall,5,CK
206,Kalum-early timing,NULL,Kalum-Early,5,CK
207,Kalum-late timing,NULL,Kalum-Late,5,CK
209,Lower Skeena (odd),NULL,Lower Skeena River (odd),3,PKO
210,Lower Skeena-CK,NULL,Lower Skeena,5,CK
211,Lower Skeena-CM,NULL,Lower Skeena,7,CM
212,Upper Skeena-CK,NULL,Upper Skeena,5,CK
213,Middle & Upper Skeena (odd),NULL,Middle-Upper Skeena (odd),3,PKO
214,Middle Skeena-CM,NULL,Middle Skeena,7,CM
215,Middle Skeena-CO,NULL,Middle Skeena,6,CO
216,Skeena River-high interior,NULL,Skeena River-High Interior (river-type),2,SER
217,Middle Skeena-mainstem tributaries,NULL,Middle Skeena-Mainstem Tributaries,5,CK
218,Middle-Upper Skeena (even),NULL,Middle-Upper Skeena (even),4,PKE
219,Nass-Skeena Estuary (even),NULL,Nass-Skeena Estuary (even),4,PKE
220,Skeena Estuary-CM,NULL,Skeena Estuary,7,CM
221,Upper Bulkley River,NULL,Upper Bulkley River,5,CK
222,Middle Skeena-large lakes,NULL,Middle Skeena-Large Lakes,5,CK
223,Nass-Skeena Estuary (odd),NULL,Nass-Skeena Estuary (odd),3,PKO
224,Skeena Estuary-CK,NULL,Skeena Estuary,5,CK
225,Skeena Estuary-CO,NULL,Skeena Estuary,6,CO
226,Skeena River,NULL,Skeena River (river-type),2,SER
227,Lakelse-CK,NULL,Lakelse,5,CK
229,Zymoetz,NULL,Zymoetz,5,CK
230,Footsore/Hodder,NULL,Footsore/Hodder,1,SEL
231,Upper Skeena-CO,NULL,Upper Skeena,6,CO
240,Lower Skeena (even),NULL,Lower Skeena (even),4,PKE
241,Sicintine,NULL,Sicintine,5,CK
242,Upper Skeena,NULL,Upper Skeena,7,CM
243,Onerka,NULL,Babine/Onerka,1,SEL
280,Upper Skeena Headwaters,NULL,Upper Skeena Headwaters,10,SH
281,Upper Sustut,NULL,Upper Sustut,10,SH
282,Upper Skeena,NULL,Upper Skeena,10,SH
283,Kispiox,NULL,Kispiox,10,SH
284,Babine,NULL,Babine,10,SH
285,Middle Skeena,NULL,Middle Skeena,10,SH
286,Suskwa,NULL,Suskwa,10,SH
287,Bulkley,NULL,Bulkley,10,SH
288,Skeena Coastal Summers,NULL,Skeena Coastal Summers,10,SH
289,Morice,NULL,Morice,10,SH
290,Skeena Coastal Winters,NULL,Skeena Coastal Winters,10,SH
301,CK001-Okanagan_1.x,CK-001,Okanagan,5,CK
302,CK002-Boundary Bay_FA_0.3,CK-002,Boundary Bay (Fall 4-1),5,CK
303,CK003-Lower Fraser River_FA_0.3,CK-003,Lower Fraser River (Fall 4-1),5,CK
304,CK004-Lower Fraser River_SP_1.3,CK-004,Lower Fraser River (Spring 5-2),5,CK
305,CK005-Lower Fraser River-Upper Pitt_SU_1.3,CK-005,Lower Fraser River-Upper Pitt (Summer 5-2),5,CK
306,CK006-Lower Fraser River_SU_1.3,CK-006,Lower Fraser River (Summer 5-2),5,CK
307,CK007-Maria Slough_SU_0.3,CK-007,Lower Fraser River-Maria Slough (Summer 4-1),5,CK
308,CK008-Middle Fraser-Fraser Canyon_SP_1.3,CK-008,Fraser Canyon-Nahatlatch (Spring 5-2),5,CK
