"region","species_name","cuid","cu_name_pse","exp","curr_spw","curr_spw_start_year","curr_spw_end_year","cu_enh_rank","psf_status","cosewic_status","cosewic_status_yr","wsp_status","wsp_status_yr","rollup_hi_pct","rollup_mod_pct","rollup_lo_pct"
"Skeena","Lake sockeye",171,"Alastair",NA,5485,2017,2022,"None","fair",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",174,"Ecstall/Lower",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",175,"Johnston",NA,280,2019,2023,"None","poor",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",176,"Kitsumkalum",NA,20312,2020,2023,"None","good",NA,NA,NA,NA,0.180311854227942,0.444156144886789,0.375532000885269
"Skeena","Lake sockeye",177,"Lakelse",NA,9545,2019,2023,"High","good",NA,NA,NA,NA,0.637242168678962,0.309913223984788,0.0528446073362506
"Skeena","Lake sockeye",178,"Mcdonell/Dennis/Aldrich",NA,2763,2019,2023,"None","good",NA,NA,NA,NA,0.411333381871955,0.423963470823031,0.164703147305015
"Skeena","Lake sockeye",180,"Babine/Onerka",NA,15862,2019,2023,"None","poor",NA,NA,NA,NA,0.52514837058344,0.389901250195654,0.0849503792209067
"Skeena","Lake sockeye",181,"Bulkley/Maxan",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,1,NA,NA
"Skeena","Lake sockeye",183,"Gitanyow (Kitwanga/Kitwancool)",NA,485,2019,2023,"None","poor",NA,NA,NA,NA,0.339063987926915,0.660936012073085,NA
"Skeena","Lake sockeye",185,"Morice/Atna",NA,22419,2018,2023,"None","poor",NA,NA,NA,NA,0.139756805430781,0.0218597836652431,0.838383410903976
"Skeena","Lake sockeye",186,"Nilkitkwa",NA,46363,2019,2023,"None","poor",NA,NA,NA,NA,0.398860275828378,0.493919256086681,0.107220468084941
"Skeena","Lake sockeye",187,"Stephens",NA,11724,2019,2023,"None","good",NA,NA,NA,NA,NA,NA,1
NA,NA,188,NA,NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA
"Skeena","Lake sockeye",189,"Tahlo/Morrison",NA,10184,2019,2023,"None","fair",NA,NA,NA,NA,0.123129680810051,0.876870319189949,NA
"Skeena","Lake sockeye",190,"Asitika",NA,453,2019,2023,"None","fair",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",191,"Azuklotz",NA,3271,2019,2023,"None","good",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",192,"Bear",NA,2728,2019,2023,"None","poor",NA,NA,NA,NA,NA,0.176890423647891,0.823109576352109
"Skeena","Lake sockeye",193,"Damshilgwit",NA,360,2020,2023,"None","fair",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",194,"Johanson",NA,322,2019,2023,"None","good",NA,NA,NA,NA,NA,0.588189669659428,0.411810330340572
"Skeena","Lake sockeye",195,"Kluatantan",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",196,"Kluayaz",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",197,"Motase",NA,179,2019,2023,"None","poor",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",198,"Sicintine",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",199,"Slamgeesh",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",200,"Spawning",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",201,"Sustut",NA,1469,2019,2023,"None","good",NA,NA,NA,NA,NA,NA,1
"Skeena","Coho",202,"Lower Skeena",NA,66743,2015,2017,"Moderate","poor",NA,NA,NA,NA,0.222639499899946,0.363281161945435,0.414079338154619
"Skeena","Lake sockeye",203,"Babine (enhanced)",NA,437369,2019,2023,"High","good",NA,NA,NA,NA,0.52514837058344,0.389901250195654,0.0849503792209067
"Skeena","Chinook",205,"Ecstall",NA,1514,2000,2001,"None","fair",NA,NA,NA,NA,0.0966644865365637,0.101717107671249,0.801618405792188
"Skeena","Chinook",206,"Kalum-Early",NA,837,2006,2011,"Low","poor",NA,NA,NA,NA,0.231056302896276,0.475651742115635,0.29329195498809
"Skeena","Chinook",207,"Kalum-Late",NA,7502,2015,2020,"High","good",NA,NA,NA,NA,0.506988110603963,0.439834520054079,0.0531773693419578
"Skeena","Pink (odd)",209,"Lower Skeena River (odd)",NA,176055,2017,2017,"None","poor",NA,NA,NA,NA,0.233138054800851,0.34215215844782,0.424709786751329
"Skeena","Chinook",210,"Lower Skeena",NA,1359,2015,2020,"Low","fair",NA,NA,NA,NA,0.16035219617556,0.290485806250354,0.549161997574087
"Skeena","Chum",211,"Lower Skeena",NA,1824,2014,2017,"Low","poor",NA,NA,NA,NA,0.215745091386035,0.304359354664715,0.47989555394925
"Skeena","Chinook",212,"Upper Skeena",NA,1721,2015,2020,"None","fair",NA,NA,NA,NA,0.0393184108911672,0.151052197441384,0.809629391667448
"Skeena","Pink (odd)",213,"Middle-Upper Skeena (odd)",NA,853053,2017,2017,"None","good",NA,NA,NA,NA,0.512957738484767,0.433139363322373,0.0539028981928599
"Skeena","Chum",214,"Middle Skeena",NA,861,2014,2017,"None","fair",NA,NA,NA,NA,0.555326311327662,0.392447177100134,0.0522265115722043
"Skeena","Coho",215,"Middle Skeena",NA,167245,2015,2017,"Moderate","good",NA,NA,NA,NA,0.439468117795377,0.388654836632652,0.171877045571971
