"region","species_name","cuid","cu_name_pse","exp","curr_spw","curr_spw_start_year","curr_spw_end_year","cu_enh_rank","psf_status","cosewic_status","cosewic_status_yr","wsp_status","wsp_status_yr","rollup_hi_pct","rollup_mod_pct","rollup_lo_pct"
"Skeena","Lake sockeye",171,"Alastair",0.12,12348,2014,2019,"None","good",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",174,"Ecstall/Lower",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",175,"Johnston",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",176,"Kitsumkalum",0.18,27542,2015,2019,"None","good",NA,NA,NA,NA,0.18024980070647,0.444065812257747,0.375684387035783
"Skeena","Lake sockeye",177,"Lakelse",0.06,17993,2015,2019,"High","good",NA,NA,NA,NA,0.637364262095101,0.309711407057329,0.0529243308475697
"Skeena","Lake sockeye",178,"Mcdonell/Dennis/Aldrich",0.07,6664,2015,2019,"None","good",NA,NA,NA,NA,0.410926039421688,0.423923510696352,0.16515044988196
"Skeena","Lake sockeye",180,"Babine/Onerka",0.26,21905,2015,2019,"None","fair",NA,NA,NA,NA,0.56157147626108,0.356917344556048,0.0815111791828718
"Skeena","Lake sockeye",181,"Bulkley/Maxan",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,1,NA,NA
"Skeena","Lake sockeye",183,"Gitanyow (Kitwanga/Kitwancool)",0.13,799,2015,2019,"None","poor",NA,NA,NA,NA,0.33967757066506,0.66032242933494,NA
"Skeena","Lake sockeye",185,"Morice/Atna",0.15,23001,2014,2019,"None","poor",NA,NA,NA,NA,0.130378710994244,0.0204613565096902,0.849159932496065
"Skeena","Lake sockeye",186,"Nilkitkwa",0.37,126456,2015,2019,"None","fair",NA,NA,NA,NA,0.398751111820947,0.494120308695348,0.107128579483705
"Skeena","Lake sockeye",187,"Stephens",0.12,7048,2015,2019,"None","good",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",188,"Swan/Club",0.14,4115,2015,2019,"None","poor",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",189,"Tahlo/Morrison",0.3,17469,2015,2019,"None","good",NA,NA,NA,NA,0.123228817747491,0.876771182252509,NA
"Skeena","Lake sockeye",190,"Asitika",0.18,930,2015,2019,"None","good",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",191,"Azuklotz",0.18,4584,2015,2019,"None","good",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",192,"Bear",0.2,8772,2015,2019,"None","fair",NA,NA,NA,NA,NA,0.176785613140604,0.823214386859396
"Skeena","Lake sockeye",193,"Damshilgwit",0.3,452,2015,2019,"None","good",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",194,"Johanson",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,0.588263943706521,0.411736056293479
"Skeena","Lake sockeye",195,"Kluatantan",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",196,"Kluayaz",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",197,"Motase",0.3,195,2015,2019,"None","poor",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",198,"Sicintine",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",199,"Slamgeesh",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",200,"Spawning",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Skeena","Lake sockeye",201,"Sustut",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Skeena","Coho",202,"Lower Skeena",0.26,89652,2016,2019,"Moderate","good",NA,NA,NA,NA,0.222630436318616,0.363335962603912,0.414033601077472
"Skeena","Lake sockeye",203,"Babine (enhanced)",0.36,380890,2015,2019,"High","good",NA,NA,NA,NA,0.56157147626108,0.356917344556049,0.0815111791828718
"Skeena","Chinook",205,"Ecstall",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,0.0967212732475966,0.101802521073826,0.801476205678578
"Skeena","Chinook",206,"Kalum-Early",NA,NA,NA,NA,"Low","data-deficient",NA,NA,NA,NA,0.230901062427546,0.475664543725651,0.293434393846804
"Skeena","Chinook",207,"Kalum-Late",0.43,7605,2014,2019,"High","good",NA,NA,NA,NA,0.507250957059552,0.439748361655643,0.0530006812848047
