,% Area of Spawning Habitat,,
Indicator,High Risk,Moderate Risk,Low Risk
Total Landcover Alteration,30%,29%,41%
Forest Disturbance,31%,27%,42%
Impervious Surfaces,0%,18%,82%
Mines,13%,n/a,87%
Linear Development,29%,28%,43%
Road Development,33%,20%,47%
Stream Crossing Density,2%,63%,35%
Riparian Disturbance,40%,14%,46%
Water Licenses,12%,n/a,88%
Waste Water Discharges,2%,n/a,98%
Equivalent Clearcut Area,19%,11%,70%
Insect and Disease Defoliation,0%,n/a,100%
Cumulative Pressures,32%,27%,41%
