,% Area of Spawning Habitat,,
Indicator,High Risk,Moderate Risk,Low Risk
Total Landcover Alteration,21%,53%,27%
Forest Disturbance,23%,32%,45%
Impervious Surfaces,0%,2%,98%
Mines,10%,0%,90%
Linear Development,23%,43%,33%
Road Development,6%,20%,73%
Stream Crossing Density,22%,31%,47%
Riparian Disturbance,11%,22%,67%
Water Licenses,6%,0%,94%
Waste Water Discharges,0%,0%,100%
Equivalent Clearcut Area,0%,0%,100%
Insect and Disease Defoliation,72%,0%,28%
Cumulative Pressures,21%,42%,37%
