,% Area of Spawning Habitat,,
Indicator,High Risk,Moderate Risk,Low Risk
Total Landcover Alteration,27%,33%,40%
Forest Disturbance,28%,30%,42%
Impervious Surfaces,0%,2%,98%
Mines,10%,0%,90%
Linear Development,27%,33%,40%
Road Development,24%,30%,47%
Stream Crossing Density,29%,27%,44%
Riparian Disturbance,28%,23%,49%
Water Licenses,16%,0%,84%
Waste Water Discharges,4%,0%,96%
Equivalent Clearcut Area,15%,7%,78%
Insect and Disease Defoliation,33%,24%,44%
Cumulative Pressures,28%,33%,40%
