,% Area of Spawning Habitat,,
Indicator,High Risk,Moderate Risk,Low Risk
Total Landcover Alteration,32%,32%,36%
Forest Disturbance*,31%,28%,24%
Impervious Surfaces,5%,44%,50%
Mines,24%,0%,76%
Linear Development,33%,32%,34%
Road Development,61%,19%,20%
Stream Crossing Density,4%,79%,16%
Riparian Disturbance,31%,41%,29%
Water Licenses,42%,0%,58%
Waste Water Discharges,13%,0%,87%
Equivalent Clearcut Area,11%,13%,76%
Insect and Disease Defoliation,3%,0%,97%
Cumulative Pressures,42%,36%,22%
